ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260326,综合Ⅲ,南京新百,600682.SH,-0.5,9.97,20969799.7,1.82,4,14,行业板块,东财三级行业
BK1626.DC,20260326,稀土,盛和资源,600392.SH,-3.27,-3.02,27987952.0,2.13,0,4,行业板块,东财三级行业
BK1625.DC,20260326,钨,厦门钨业,600549.SH,-3.53,-1.46,24525291.3,5.65,0,4,行业板块,东财三级行业
BK1624.DC,20260326,其他小金属,西部材料,002149.SZ,-1.63,10.0,41637747.2,4.23,1,14,行业板块,东财三级行业
BK1623.DC,20260326,钼,金钼股份,601958.SH,-2.51,-2.51,7317813.3,0.81,0,1,行业板块,东财三级行业
BK1622.DC,20260326,镍,华友钴业,603799.SH,-1.47,-1.47,11033263.8,2.85,0,1,行业板块,东财三级行业
BK1621.DC,20260326,锂,融捷股份,002192.SZ,4.35,10.01,40736987.2,6.22,8,0,行业板块,东财三级行业
BK1620.DC,20260326,钴,寒锐钴业,300618.SZ,-0.73,0.17,3049135.0,2.43,1,1,行业板块,东财三级行业
BK1619.DC,20260326,其他金属新材料,天力复合,920576.BJ,-1.26,7.12,19748720.6,1.99,4,16,行业板块,东财三级行业
BK1618.DC,20260326,磁性材料,龙磁科技,300835.SZ,-1.85,-0.93,16678575.7,1.64,0,14,行业板块,东财三级行业
BK1617.DC,20260326,黄金,中金黄金,600489.SH,-3.02,-1.88,58254963.2,2.01,0,10,行业板块,东财三级行业
BK1616.DC,20260326,白银,盛达资源,000603.SZ,-2.63,-1.4,12850820.8,4.32,0,3,行业板块,东财三级行业
BK1615.DC,20260326,铜,海亮股份,002203.SZ,-1.57,6.18,181312044.8,1.74,2,15,行业板块,东财三级行业
BK1614.DC,20260326,铅锌,国城矿业,000688.SZ,-1.17,4.72,22336535.0,2.25,2,9,行业板块,东财三级行业
BK1613.DC,20260326,铝,丽岛新材,603937.SH,-0.74,9.98,106775435.2,1.71,7,23,行业板块,东财三级行业
BK1612.DC,20260326,农商行Ⅲ,渝农商行,601077.SH,0.72,1.71,27549368.0,1.0,9,1,行业板块,东财三级行业
BK1611.DC,20260326,国有大型银行Ⅲ,工商银行,601398.SH,0.43,1.09,1041023820.8,0.12,5,1,行业板块,东财三级行业
BK1610.DC,20260326,股份制银行Ⅲ,中信银行,601998.SH,0.1,1.33,297295467.2,0.35,3,3,行业板块,东财三级行业
BK1609.DC,20260326,城商行Ⅲ,齐鲁银行,601665.SH,-0.03,0.87,125398249.6,0.6,9,5,行业板块,东财三级行业
BK1608.DC,20260326,中药Ⅲ,嘉应制药,002198.SZ,-0.96,1.05,82196264.0,1.16,9,57,行业板块,东财三级行业
BK1607.DC,20260326,医药流通,国药一致,000028.SZ,-1.38,0.04,24466741.2,0.99,1,22,行业板块,东财三级行业
BK1606.DC,20260326,线下药店,老百姓,603883.SH,-0.96,0.23,8385355.6,0.89,1,7,行业板块,东财三级行业
BK1605.DC,20260326,医疗设备,中科美菱,920992.BJ,-1.82,3.54,59650756.8,1.47,3,39,行业板块,东财三级行业
BK1604.DC,20260326,医疗耗材,康拓医疗,688314.SH,-1.73,4.88,44794185.6,1.51,8,45,行业板块,东财三级行业
BK1603.DC,20260326,体外诊断,爱威科技,688067.SH,-1.95,-0.68,25852848.4,1.91,0,40,行业板块,东财三级行业
BK1602.DC,20260326,诊断服务,兰卫医学,301060.SZ,-2.19,-1.33,4670329.3,2.0,0,5,行业板块,东财三级行业
BK1601.DC,20260326,医院,新里程,002219.SZ,-0.87,7.3,21649344.0,3.4,3,11,行业板块,东财三级行业
BK1600.DC,20260326,医疗研发外包,百诚医药,301096.SZ,-0.6,2.82,61338305.6,1.95,12,17,行业板块,东财三级行业
BK1599.DC,20260326,其他医疗服务,*ST生物,000504.SZ,-2.81,-1.11,2422724.3,1.85,0,5,行业板块,东财三级行业
BK1598.DC,20260326,疫苗,欧林生物,688319.SH,-1.37,0.25,22890206.6,0.87,1,13,行业板块,东财三级行业
BK1597.DC,20260326,血液制品,上海莱士,002252.SZ,-1.11,-0.51,10083814.4,0.48,0,6,行业板块,东财三级行业
BK1596.DC,20260326,其他生物制品,赛伦生物,688163.SH,-0.97,2.33,61015217.6,1.33,9,29,行业板块,东财三级行业
BK1595.DC,20260326,原料药,海森药业,001367.SZ,0.22,9.99,33452150.4,2.79,16,28,行业板块,东财三级行业
BK1594.DC,20260326,化学制剂,万邦德,002082.SZ,-0.7,9.99,197769435.2,1.51,30,83,行业板块,东财三级行业
BK1593.DC,20260326,通信终端及配件,*ST天喻,300205.SZ,-2.49,5.58,38333139.2,3.68,3,25,行业板块,东财三级行业
BK1592.DC,20260326,通信线缆及配套,长盈通,688143.SH,-1.21,5.66,53859059.2,7.41,3,9,行业板块,东财三级行业
BK1591.DC,20260326,通信网络设备及器件,铭普光磁,002902.SZ,-2.41,10.02,220382859.2,3.87,4,32,行业板块,东财三级行业
BK1590.DC,20260326,其他通信设备,长江通信,600345.SH,-2.11,-0.48,9250945.8,1.91,0,14,行业板块,东财三级行业
BK1589.DC,20260326,通信应用增值服务,北纬科技,002148.SZ,-3.59,-1.86,29683392.0,6.74,0,17,行业板块,东财三级行业
BK1588.DC,20260326,通信工程及服务,亚联发展,002316.SZ,-3.11,-0.55,10800932.4,5.02,0,20,行业板块,东财三级行业
BK1587.DC,20260326,电信运营商,中国移动,600941.SH,-1.0,0.02,269736721.6,0.25,1,2,行业板块,东财三级行业
BK1586.DC,20260326,软饮料,欢乐家,300997.SZ,-1.09,-0.1,19764225.0,0.88,0,8,行业板块,东财三级行业
BK1585.DC,20260326,乳品,妙可蓝多,600882.SH,-1.04,0.75,25644727.6,1.34,4,15,行业板块,东财三级行业
BK1584.DC,20260326,熟食,紫燕食品,603057.SH,0.35,1.11,2310790.5,1.21,2,1,行业板块,东财三级行业
BK1583.DC,20260326,零食,有友食品,603697.SH,-1.15,0.37,10011709.1,1.46,1,10,行业板块,东财三级行业
BK1582.DC,20260326,烘焙食品,广州酒家,603043.SH,-0.79,-0.13,4440738.1,0.89,0,9,行业板块,东财三级行业
BK1581.DC,20260326,预加工食品,三全食品,002216.SZ,-0.29,3.09,6692490.9,2.0,5,6,行业板块,东财三级行业
BK1580.DC,20260326,肉制品,华统股份,002840.SZ,-0.28,1.67,12654563.0,1.44,2,5,行业板块,东财三级行业
BK1579.DC,20260326,保健品,西王食品,000639.SZ,-1.53,0.32,5820847.7,3.99,1,8,行业板块,东财三级行业
BK1578.DC,20260326,其他酒类,中信尼雅,600084.SH,-1.45,0.14,6724390.4,0.99,1,9,行业板块,东财三级行业
BK1577.DC,20260326,啤酒,惠泉啤酒,600573.SH,-1.23,-0.26,17647256.0,0.76,0,7,行业板块,东财三级行业
BK1576.DC,20260326,调味发酵品Ⅲ,天味食品,603317.SH,-0.77,0.49,35206700.8,2.19,2,12,行业板块,东财三级行业
BK1575.DC,20260326,白酒Ⅲ,皇台酒业,000995.SZ,-1.86,0.63,280543995.2,0.65,1,20,行业板块,东财三级行业
BK1574.DC,20260326,油气开采Ⅲ,蓝焰控股,000968.SZ,2.19,9.96,204222302.4,5.36,4,1,行业板块,东财三级行业
BK1573.DC,20260326,油田服务,中曼石油,603619.SH,-0.27,1.84,21255693.0,1.49,3,4,行业板块,东财三级行业
BK1572.DC,20260326,油气及炼化工程,潜能恒信,300191.SZ,1.22,3.69,8584671.9,3.89,4,2,行业板块,东财三级行业
BK1571.DC,20260326,油品石化贸易,润贝航科,001316.SZ,0.08,3.74,7395692.7,3.63,3,4,行业板块,东财三级行业
BK1570.DC,20260326,其他石化,渤海化学,600800.SH,-0.04,9.92,12129654.1,3.06,4,10,行业板块,东财三级行业
BK1569.DC,20260326,炼油化工,中国石油,601857.SH,-0.76,2.05,332539259.2,0.25,3,7,行业板块,东财三级行业
BK1568.DC,20260326,人力资源服务,北京人力,600861.SH,-1.53,-0.12,2508906.0,0.65,0,3,行业板块,东财三级行业
BK1567.DC,20260326,其他专业服务,安邦护卫,603373.SH,-0.56,4.11,1426950.1,1.63,1,3,行业板块,东财三级行业
BK1566.DC,20260326,检测服务,信测标准,300938.SZ,-2.0,0.73,14977354.3,2.15,2,21,行业板块,东财三级行业
BK1565.DC,20260326,会展服务,米奥会展,300795.SZ,-1.51,-0.08,1536767.7,1.63,0,3,行业板块,东财三级行业
BK1564.DC,20260326,体育Ⅲ,中体产业,600158.SH,-4.23,-4.19,1271103.3,11.98,0,2,行业板块,东财三级行业
BK1563.DC,20260326,自然景区,桂林旅游,000978.SZ,-0.96,1.49,7031820.5,3.03,2,11,行业板块,东财三级行业
BK1562.DC,20260326,人工景区,大连圣亚,600593.SH,-0.27,1.0,3951844.8,1.2,2,3,行业板块,东财三级行业
BK1561.DC,20260326,旅游综合,陕西旅游,603402.SH,-0.72,2.6,4836742.1,2.02,1,7,行业板块,东财三级行业
BK1560.DC,20260326,酒店,金陵饭店,601007.SH,-0.59,1.51,6975236.4,1.77,2,4,行业板块,东财三级行业
BK1559.DC,20260326,餐饮,全 聚 德,002186.SZ,-0.9,-0.67,1382103.7,1.33,0,4,行业板块,东财三级行业
BK1558.DC,20260326,学历教育,国脉科技,002093.SZ,-2.28,-2.28,1255982.8,1.27,0,2,行业板块,东财三级行业
BK1557.DC,20260326,培训教育,中国高科,600730.SH,-2.28,0.33,5433325.1,2.32,1,10,行业板块,东财三级行业
BK1556.DC,20260326,教育运营及其他,*ST国化,600636.SH,-1.8,-0.51,2137248.1,1.73,0,3,行业板块,东财三级行业
BK1555.DC,20260326,专业连锁Ⅲ,吉峰科技,300022.SZ,-1.24,0.0,5350408.5,2.22,0,6,行业板块,东财三级行业
BK1554.DC,20260326,商业物业经营,汇通能源,600605.SH,-1.49,-0.07,20427456.4,0.72,0,16,行业板块,东财三级行业
BK1553.DC,20260326,多业态零售,百联股份,600827.SH,-1.18,0.61,8039915.0,1.29,1,15,行业板块,东财三级行业
BK1552.DC,20260326,超市,红旗连锁,002697.SZ,-1.19,0.0,8010586.4,1.57,0,6,行业板块,东财三级行业
BK1551.DC,20260326,百货,天虹股份,002419.SZ,-0.98,1.08,14422271.5,1.57,3,17,行业板块,东财三级行业
BK1550.DC,20260326,贸易Ⅲ,南京商旅,600250.SH,-0.87,3.4,16203103.0,3.06,3,11,行业板块,东财三级行业
BK1549.DC,20260326,旅游零售Ⅲ,中国中免,601888.SH,-1.63,-1.57,15786902.8,0.96,0,2,行业板块,东财三级行业
BK1548.DC,20260326,综合电商,ST易购,002024.SZ,-0.21,0.0,3174682.9,0.45,0,2,行业板块,东财三级行业
BK1547.DC,20260326,跨境电商,吉宏股份,002803.SZ,-1.71,-1.15,4755106.8,2.58,0,7,行业板块,东财三级行业
BK1546.DC,20260326,电商服务,若羽臣,003010.SZ,-1.34,0.63,4221451.1,2.42,2,6,行业板块,东财三级行业
BK1545.DC,20260326,特种纸,冠豪高新,600433.SH,-1.65,1.89,7315723.9,3.62,2,11,行业板块,东财三级行业
BK1544.DC,20260326,大宗用纸,森林包装,605500.SH,-1.6,1.2,10718631.9,1.51,1,11,行业板块,东财三级行业
BK1543.DC,20260326,娱乐用品,浙江正特,001238.SZ,-2.53,0.27,8289059.6,5.23,1,17,行业板块,东财三级行业
BK1542.DC,20260326,文化用品,广博股份,002103.SZ,-2.19,-1.2,4193047.7,1.17,0,5,行业板块,东财三级行业
BK1541.DC,20260326,卫浴制品,松霖科技,603992.SH,-0.52,4.89,4168414.3,1.24,1,6,行业板块,东财三级行业
BK1540.DC,20260326,其他家居用品,联翔股份,603272.SH,-0.97,10.0,20011021.8,1.71,4,20,行业板块,东财三级行业
BK1539.DC,20260326,定制家居,顶固集创,300749.SZ,-0.86,8.68,10016169.2,1.99,4,12,行业板块,东财三级行业
BK1538.DC,20260326,瓷砖地板,美新科技,301588.SZ,-0.77,1.75,7605923.0,1.85,2,10,行业板块,东财三级行业
BK1537.DC,20260326,成品家居,*ST亚振,603389.SH,-1.63,0.93,12072078.0,1.41,2,15,行业板块,东财三级行业
BK1536.DC,20260326,综合包装,海顺新材,300501.SZ,0.56,8.75,1830174.5,4.46,2,4,行业板块,东财三级行业
BK1535.DC,20260326,纸包装,衢州东峰,601515.SH,-0.22,9.98,12928732.9,4.39,6,15,行业板块,东财三级行业
BK1534.DC,20260326,印刷,盛通股份,002599.SZ,-2.18,-1.54,2539835.1,5.6,0,5,行业板块,东财三级行业
BK1533.DC,20260326,塑料包装,金富科技,003018.SZ,1.96,10.02,4170814.0,4.09,4,3,行业板块,东财三级行业
BK1532.DC,20260326,金属包装,华源控股,002787.SZ,-0.75,4.76,6459770.3,2.15,4,3,行业板块,东财三级行业
BK1531.DC,20260326,商用载客车,宇通客车,600066.SH,0.01,1.18,9820120.3,2.06,3,2,行业板块,东财三级行业
BK1530.DC,20260326,商用载货车,中集车辆,301039.SZ,-0.26,1.46,24355665.4,0.94,4,5,行业板块,东财三级行业
BK1529.DC,20260326,汽车电子电气系统,菱电电控,688667.SH,-1.19,3.42,48198752.0,1.81,7,33,行业板块,东财三级行业
BK1528.DC,20260326,其他汽车零部件,中自科技,688737.SH,-1.63,6.93,35446520.0,2.15,10,45,行业板块,东财三级行业
BK1527.DC,20260326,轮胎轮毂,贵州轮胎,000589.SZ,-1.55,0.44,25983150.9,1.27,2,19,行业板块,东财三级行业
BK1526.DC,20260326,底盘与发动机系统,华阳变速,920146.BJ,-1.12,9.65,117702236.8,2.95,24,84,行业板块,东财三级行业
BK1525.DC,20260326,车身附件及饰件,福赛科技,301529.SZ,-1.22,2.77,52004827.2,1.41,7,34,行业板块,东财三级行业
BK1524.DC,20260326,汽车综合服务,交运股份,600676.SH,-1.1,2.02,3945450.1,1.09,1,4,行业板块,东财三级行业
BK1523.DC,20260326,汽车经销商,国机汽车,600335.SH,-0.79,-0.51,2268306.6,1.05,0,6,行业板块,东财三级行业
BK1522.DC,20260326,其他运输设备,绿通科技,301322.SZ,-1.79,-0.28,8454567.6,2.0,0,10,行业板块,东财三级行业
BK1521.DC,20260326,摩托车,涛涛车业,301345.SZ,-2.1,0.66,15062013.2,0.88,1,8,行业板块,东财三级行业
BK1520.DC,20260326,综合乘用车,长  安Ｂ,200625.SZ,-1.48,-0.49,56063156.8,0.59,0,6,行业板块,东财三级行业
BK1519.DC,20260326,电动乘用车,北汽蓝谷,600733.SH,-2.24,-0.83,114961950.4,1.64,0,3,行业板块,东财三级行业
BK1518.DC,20260326,种子,农发种业,600313.SH,-1.41,1.14,6351015.7,4.38,1,9,行业板块,东财三级行业
BK1517.DC,20260326,食用菌,雪榕生物,300511.SZ,-1.74,0.43,1540979.2,3.03,1,3,行业板块,东财三级行业
BK1516.DC,20260326,其他种植业,宏辉果蔬,603336.SH,-2.09,-0.82,4856474.6,2.73,0,5,行业板块,东财三级行业
BK1515.DC,20260326,粮食种植,苏垦农发,601952.SH,0.88,1.51,4205447.6,1.63,2,0,行业板块,东财三级行业
BK1514.DC,20260326,水产养殖,大湖股份,600257.SH,1.18,7.54,1300864.4,3.45,2,2,行业板块,东财三级行业
BK1513.DC,20260326,海洋捕捞,中  鲁Ｂ,200992.SZ,-0.6,0.0,684960.8,2.38,0,2,行业板块,东财三级行业
BK1512.DC,20260326,生猪养殖,京基智农,000048.SZ,-1.18,1.63,48703361.6,1.05,1,10,行业板块,东财三级行业
BK1511.DC,20260326,肉鸡养殖,立华股份,300761.SZ,0.49,3.07,6727881.2,1.77,4,4,行业板块,东财三级行业
BK1510.DC,20260326,其他养殖,福成股份,600965.SH,-1.76,-0.9,1081986.5,1.14,0,3,行业板块,东财三级行业
BK1509.DC,20260326,水产饲料,粤海饲料,001313.SZ,-0.75,0.59,9849274.0,1.3,1,3,行业板块,东财三级行业
BK1508.DC,20260326,畜禽饲料,播恩集团,001366.SZ,-1.76,-0.3,5985450.9,1.91,0,9,行业板块,东财三级行业
BK1507.DC,20260326,宠物食品,中宠股份,002891.SZ,-1.9,-0.96,3680253.4,1.59,0,4,行业板块,东财三级行业
BK1506.DC,20260326,农业综合Ⅲ,辉隆股份,002556.SZ,-0.81,0.33,1163610.4,1.98,1,2,行业板块,东财三级行业
BK1505.DC,20260326,其他农产品加工,华资实业,600191.SH,-0.21,4.26,8328648.7,1.6,4,8,行业板块,东财三级行业
BK1504.DC,20260326,粮油加工,深粮控股,000019.SZ,-0.54,3.58,18681383.6,3.28,2,8,行业板块,东财三级行业
BK1503.DC,20260326,果蔬加工,国投中鲁,600962.SH,-0.92,0.1,3321361.1,1.56,1,5,行业板块,东财三级行业
BK1502.DC,20260326,林业Ⅲ,ST景谷,600265.SH,-2.14,0.34,2811045.3,12.03,1,3,行业板块,东财三级行业
BK1501.DC,20260326,动物保健Ⅲ,瑞普生物,300119.SZ,-1.02,1.18,6817097.9,1.26,2,11,行业板块,东财三级行业
BK1500.DC,20260326,医美耗材,华熙生物,688363.SH,-2.35,-1.77,7305050.4,0.73,0,3,行业板块,东财三级行业
BK1499.DC,20260326,医美服务,*ST美谷,000615.SZ,-1.55,-1.55,568422.6,0.49,0,1,行业板块,东财三级行业
BK1498.DC,20260326,品牌化妆品,水羊股份,300740.SZ,-1.09,0.15,9380476.7,0.9,1,7,行业板块,东财三级行业
BK1497.DC,20260326,化妆品制造及其他,嘉亨家化,300955.SZ,-0.08,7.32,3097894.7,1.42,2,5,行业板块,东财三级行业
BK1496.DC,20260326,洗护用品,两面针,600249.SH,0.36,4.34,2063187.8,5.13,1,3,行业板块,东财三级行业
BK1495.DC,20260326,生活用纸,中顺洁柔,002511.SZ,-2.47,0.24,6435138.4,2.19,2,7,行业板块,东财三级行业
BK1494.DC,20260326,焦煤,辽宁能源,600758.SH,0.87,7.34,21341028.2,3.65,6,4,行业板块,东财三级行业
BK1493.DC,20260326,动力煤,兖矿能源,600188.SH,0.06,4.22,201326097.6,1.16,8,7,行业板块,东财三级行业
BK1492.DC,20260326,焦炭Ⅲ,宝泰隆,601011.SH,-0.46,5.29,7197239.7,5.77,3,4,行业板块,东财三级行业
BK1491.DC,20260326,端到端供应链服务,普路通,002769.SZ,-1.16,-0.09,2546562.4,2.49,0,7,行业板块,东财三级行业
BK1490.DC,20260326,原材料供应链服务,*ST海钦,600753.SH,-0.03,2.54,12519334.8,1.3,6,6,行业板块,东财三级行业
BK1489.DC,20260326,快递,申通快递,002468.SZ,1.68,4.48,31455155.2,0.88,4,0,行业板块,东财三级行业
BK1488.DC,20260326,跨境物流,华贸物流,603128.SH,-0.24,0.71,18593855.3,0.72,5,7,行业板块,东财三级行业
BK1487.DC,20260326,公路货运,*ST原尚,603813.SH,-0.6,1.34,2938522.3,1.66,2,3,行业板块,东财三级行业
BK1486.DC,20260326,仓储物流,保税科技,600794.SH,0.17,1.89,3790575.6,2.0,4,2,行业板块,东财三级行业
BK1485.DC,20260326,铁路运输,铁龙物流,600125.SH,1.67,3.43,41634766.4,0.88,7,0,行业板块,东财三级行业
BK1484.DC,20260326,公交,申通地铁,600834.SH,-1.46,0.0,3927350.4,0.75,0,6,行业板块,东财三级行业
BK1483.DC,20260326,高速公路,宁沪高速,600377.SH,-0.42,1.65,39013825.6,0.73,8,12,行业板块,东财三级行业
BK1482.DC,20260326,航运,中远海特,600428.SH,-0.82,4.77,72537104.0,2.13,7,12,行业板块,东财三级行业
BK1481.DC,20260326,港口,宁波港,601018.SH,-0.5,0.72,57153648.0,0.59,5,9,行业板块,东财三级行业
BK1480.DC,20260326,机场,深圳机场,000089.SZ,-1.14,0.15,15345986.8,0.59,1,4,行业板块,东财三级行业
BK1479.DC,20260326,航空运输,春秋航空,601021.SH,-0.99,0.61,54932428.8,1.04,1,8,行业板块,东财三级行业
BK1478.DC,20260326,装修装饰Ⅲ,ST柯利达,603828.SH,-1.06,3.34,11541385.9,1.61,5,18,行业板块,东财三级行业
BK1477.DC,20260326,其他专业工程,再升科技,603601.SH,-1.47,9.98,26328061.9,3.54,4,16,行业板块,东财三级行业
BK1476.DC,20260326,化学工程,镇海股份,603637.SH,-1.66,0.34,8873093.3,2.27,1,6,行业板块,东财三级行业
BK1475.DC,20260326,国际工程,中钢国际,000928.SZ,-1.15,-0.3,6336067.4,1.91,0,4,行业板块,东财三级行业
BK1474.DC,20260326,钢结构,鸿路钢构,002541.SZ,-1.79,5.18,7282003.1,2.18,1,9,行业板块,东财三级行业
BK1473.DC,20260326,园林工程,棕榈股份,002431.SZ,-3.36,0.71,9074236.5,3.52,1,18,行业板块,东财三级行业
BK1472.DC,20260326,基建市政工程,成都路桥,002628.SZ,-1.55,2.18,90831867.2,1.98,3,25,行业板块,东财三级行业
BK1471.DC,20260326,工程咨询服务Ⅲ,杰恩设计,300668.SZ,-1.87,18.47,22120613.4,2.9,2,45,行业板块,东财三级行业
BK1470.DC,20260326,房屋建设Ⅲ,中国建筑,601668.SH,-2.55,-0.8,28824636.8,0.9,0,8,行业板块,东财三级行业
BK1469.DC,20260326,涂料,三棵树,603737.SH,-1.03,-0.49,3855677.8,0.66,0,2,行业板块,东财三级行业
BK1468.DC,20260326,其他建材Ⅲ,法狮龙,605318.SH,-1.34,3.71,12607412.0,1.94,2,14,行业板块,东财三级行业
BK1467.DC,20260326,耐火材料,瑞泰科技,002066.SZ,-1.3,0.78,3416193.1,1.25,1,7,行业板块,东财三级行业
BK1466.DC,20260326,管材,雄塑科技,300599.SZ,-1.05,0.65,3828141.7,1.26,1,6,行业板块,东财三级行业
BK1465.DC,20260326,防水材料,东方雨虹,002271.SZ,-0.34,0.32,4875608.6,1.84,1,1,行业板块,东财三级行业
BK1464.DC,20260326,水泥制造,万年青,000789.SZ,-1.8,0.0,29372892.8,0.89,0,13,行业板块,东财三级行业
BK1463.DC,20260326,水泥制品,三和管桩,003037.SZ,-2.18,-0.56,3402268.5,2.53,0,9,行业板块,东财三级行业
