序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,600121,郑州煤电,9.922179222106934,5.65,404522160,6884028014.700001,6884027980.8,5.876242160797119,170038778,092500,092500,0,2/2,2,煤炭开采
2,002445,中南文化,10.049019813537598,4.49,516189168,10625050568.77,10670967836.640001,4.858227729797363,487232888,092500,092500,0,5/5,5,通用设备
3,000677,恒天海龙,10.087719917297363,5.02,112306567,4337169298.96,4337169319.04,2.58939790725708,117815253,092500,092500,0,1/1,1,化学纤维
4,600691,潞化科技,9.925558090209961,4.43,312600032,10523845767.359999,10525600047.359999,2.9717729091644287,106234341,092504,093022,1,2/2,2,农化制品
5,603929,亚翔集成,9.99765682220459,140.83,319935424,30047488800.000004,30047488800.000004,1.0671287775039673,219353146,093000,093000,0,1/1,1,专业工程
6,002931,锋龙股份,10.005393981933594,81.58,642824208,16418262814.24,17825707732.48,3.9473533630371094,291847881,093018,093018,0,1/1,1,通用设备
7,002470,金正大,9.897611618041992,3.22,1137969440,10580113122.74,10581009335.68,10.868403434753418,180192810,093136,093136,0,1/1,1,农化制品
8,000890,法尔胜,10.019841194152832,11.09,424799648,4652155700.14,4652299005.12,9.296765327453613,55731929,093142,093315,2,15/8,2,环保设备
9,002109,兴化股份,9.978768348693848,5.18,475782640,6611077828.179999,6611077854.08,7.345472812652588,33441422,093200,100521,1,1/1,1,化学原料
10,603558,健盛集团,9.991532325744629,12.99,125067549,4450868256.51,4450868243.52,2.8517119884490967,41178949,093327,093327,0,1/1,1,纺织制造
11,601669,中国电建,9.938838005065918,7.19,12775678464,93984270861.5,123856085798.40001,13.774038314819336,681678306,093456,101453,1,1/1,1,基础建设
12,600307,酒钢宏兴,9.90099048614502,2.22,935629120,13904653481.28,13904653516.800001,6.8178629875183105,51620394,093459,131441,4,1/1,1,普钢
13,603607,京华激光,9.991039276123047,24.55,234229313,4382587440.0,4382587440.0,5.3851423263549805,36246111,093520,093520,0,1/1,1,包装印刷
14,000010,美丽生态,9.951457023620605,4.53,211570338,3841591007.55,5207924864.64,5.608273029327393,67120896,093533,093533,0,1/1,1,基础建设
15,600722,金牛化工,10.0,16.94,2973438224,11524615311.44,11524615379.2,26.133811950683594,25104402,094004,144849,19,20/10,3,化学原料
16,600227,赤天化,10.075567245483398,4.37,1707365840,5583111139.110001,7379739961.6,31.16402816772461,28400166,094035,144914,3,6/3,1,农化制品
17,002165,红 宝 丽,10.0,12.76,2382708416,9284552368.96,9382043158.4,26.277156829833984,158778039,094300,094300,0,1/1,1,化学制品
18,002382,蓝帆医疗,10.0,7.59,410425264,7587769913.79,7644177905.76,5.481700420379639,87250829,094654,094654,0,1/1,1,医疗器械
19,002429,兆驰股份,10.046082496643066,11.94,4622289664,54020536234.92,54051671623.68,8.676620483398438,60194423,094757,145418,5,1/1,1,黑色家电
20,603659,璞泰来,10.013578414916992,32.41,2159757616,69240694053.15999,69240693923.51999,3.1653575897216797,88180188,094917,094917,0,1/1,1,电池
21,603803,瑞斯康达,10.0,13.75,1020366384,5842148908.75,5842148840.0,18.42534065246582,92794707,095315,095315,0,4/3,1,通信设备
22,600683,京投发展,10.050251007080078,8.76,364276304,6489211749.72,6489211776.0,5.855688571929932,50816278,095822,100710,1,1/1,1,房地产开
23,001366,播恩集团,9.97906494140625,15.76,91652177,2532316800.0,2532316800.0,3.69510817527771,43056320,100348,100348,0,1/1,1,饲料
24,002056,横店东磁,10.004257202148438,25.84,2199581664,41990816776.56,42034240147.2,5.304670810699463,42809128,100351,145424,3,1/1,1,光伏设备
25,600232,金鹰股份,10.025062561035156,8.78,112654441,3202228816.3199997,3202228816.3199997,3.637681722640991,57330766,100655,100655,0,1/1,1,专用设备
26,600726,华电能源,10.051546096801758,4.27,1493775520,31919685608.159996,33764325539.839996,4.9712629318237305,76517524,100655,100655,0,4/4,4,电力
27,002950,奥美医疗,10.02921199798584,11.3,187880489,5107545861.700001,7155899110.400001,3.8021504878997803,63920845,101427,101427,0,1/1,1,医疗器械
28,002531,天顺风能,10.008857727050781,12.42,1375159504,22192877260.079998,22317232907.52,6.412021160125732,87460360,101909,101909,0,1/1,1,风电设备
29,002543,万和电气,10.0,9.79,219971017,6477171719.37,7279843999.999999,3.4721121788024902,17124002,103109,104224,3,1/1,1,厨卫电器
30,603366,日出东方,10.021322250366211,10.32,837970448,8390656402.320001,8390656350.72,10.231512069702148,75301314,103220,103220,0,1/1,1,厨卫电器
31,603169,兰石重装,9.965636253356934,12.8,1380104384,16720535014.400002,16720534937.6,8.503721237182617,159380480,104350,104350,0,1/1,1,专用设备
32,603029,天鹅股份,9.979633331298828,21.6,140568488,2620987200.0,2620987200.0,5.514619827270508,96608808,104716,104716,0,1/1,1,专用设备
33,300185,通裕重工,19.94301986694336,4.21,3433247680,15606378365.14,16406995841.76,23.13163185119629,250666372,104803,104803,0,1/1,1,风电设备
34,003027,同兴科技,10.004486083984375,24.52,242194590,2571190935.36,3205332864.0,9.72396183013916,107000572,105245,105245,0,1/1,1,环境治理
35,600408,安泰集团,10.133333206176758,4.13,700058544,4158084000.0,4158084000.0,17.389467239379883,59933263,105448,105448,0,1/1,1,焦炭Ⅱ
36,002903,宇环数控,9.996455192565918,31.03,1286130416,3309136913.4700003,4862338940.0,40.48824691772461,3497081,110345,145515,4,5/3,1,通用设备
37,002323,雅博股份,9.956709861755371,2.54,901905472,5385770086.96,5386972045.440001,17.287410736083984,39853278,110642,110642,0,1/1,1,专业工程
38,603280,南方路机,10.0,40.7,331774288,1137225846.9,4412151346.900001,29.91170883178711,336438410,110830,110830,0,1/1,1,工程机械
39,603062,麦加芯彩,10.005863189697266,56.29,225455280,2086844799.0,6079320000.0,11.037752151489258,101394332,110928,110928,0,1/1,1,化学制品
40,600847,万里股份,10.0,15.51,114283350,2377487574.0,2377487574.0,4.961965084075928,81478683,112140,112140,0,1/1,1,电池
41,002084,海鸥住工,10.0,4.29,236453238,2765481756.18,2771580445.92,8.826706886291504,20735792,112830,112830,0,1/1,1,家居用品
42,603538,美诺华,10.017345428466797,25.37,556436240,5484889577.08,5592820660.68,10.512269020080566,112124186,112950,112950,0,1/1,1,化学制药
43,603248,锡华科技,9.984399795532227,28.2,884247552,1954511487.6,12972000000.0,46.39689636230469,17474637,130024,150000,2,1/1,1,风电设备
44,002637,赞宇科技,9.979209899902344,15.87,279351088,7026016390.5,7465263996.96,4.132763385772705,107489097,130554,130554,0,1/1,1,化学制品
45,600336,澳柯玛,9.946236610412598,8.18,417818416,6527760810.42,6527760802.24,6.570205211639404,24157994,130704,131543,1,1/1,1,白色家电
46,605222,起帆电缆,10.019083976745605,23.06,453379664,9521545439.88,9521545578.24,4.876650810241699,24771052,130826,130826,0,1/1,1,电网设备
47,600756,浪潮软件,9.981285095214844,17.63,518057984,5713861015.389999,6163954897.759999,9.29863452911377,99110571,130830,130951,1,1/1,1,IT服务Ⅱ
48,601611,中国核建,10.022909164428711,19.21,5725504256,57895755212.520004,57895755135.68,10.196212768554688,106137997,132032,140956,3,1/1,1,基础建设
49,600234,科新发展,10.029498100280762,14.92,111151721,3916812917.16,3916812917.16,2.9105305671691895,73641867,132232,132232,0,1/1,1,装修装饰
50,002487,大金重工,9.997272491455078,80.65,3978503968,50883719452.9,51434484593.600006,8.040013313293457,210266728,132430,132718,2,2/2,2,风电设备
51,600746,江苏索普,9.97624683380127,9.26,470444144,10797922533.22,10814225068.8,4.504958629608154,15322522,132622,135507,1,1/1,1,化学原料
52,600226,亨通股份,10.054844856262207,6.02,1059643008,17905774968.48,17905775016.64,6.097738265991211,19367429,133335,134732,1,1/1,1,电力
53,002438,江苏神通,9.99428939819336,19.26,577175584,9030641646.42,9775171402.560001,6.606110095977783,106285077,133512,133512,0,1/1,1,通用设备
54,601218,吉鑫科技,9.984151840209961,6.94,1462069440,6725092573.280001,6725092628.8,22.795862197875977,49132424,134355,144928,2,1/1,1,风电设备
55,300981,中红医疗,20.015220642089844,15.77,670374672,6198160041.83,6763200419.2,11.161105155944824,54087409,140030,140030,0,1/1,1,医疗器械
56,003041,真爱美家,10.0,69.85,1003420240,9557114490.0,10058400000.0,11.169662475585938,7053453,140157,144351,3,1/1,1,服装家纺
57,600370,三房巷,10.080645561218262,2.73,709959488,10637938357.41,10637938365.6,7.024312973022461,21947207,143221,143221,0,2/2,2,化学纤维
58,002669,康达新材,10.035842895507812,15.35,482297552,4646718230.0,4657190000.0,10.85757064819336,56168750,144730,144730,0,1/1,1,化学制品
59,002969,嘉美包装,10.01662540435791,26.47,2559864304,28912888824.14,29077181496.64,9.252517700195312,25932156,145600,145600,0,4/2,1,包装印刷
