模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
弱转强,600310,广西能源,买入,09:24:30-09:25:00,6.6,6.14,7.26,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,720,新能泰山,买入,09:24:30-09:25:00,5.51,5.12,6.06,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,767,晋控电力,买入,09:24:30-09:25:00,5.09,4.73,5.6,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,600844,金煤科技,买入,09:24:30-09:25:00,4.99,4.64,5.49,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603538,美诺华,买入,09:24:30-09:25:00,39.18,36.44,43.1,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2082,万邦德,买入,09:24:30-09:25:00,26.04,24.22,28.64,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2361,神剑股份,买入,09:24:30-09:25:00,13.64,12.69,15.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2263,大东南,买入,09:24:30-09:25:00,4.07,3.79,4.48,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2192,融捷股份,买入,09:24:30-09:25:00,78.0,72.54,85.8,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603026,石大胜华,买入,09:24:30-09:25:00,93.85,87.28,103.23,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
二板定龙,720,新能泰山,买入,09:24:30-09:25:00,5.51,5.12,6.06,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,767,晋控电力,买入,09:24:30-09:25:00,5.09,4.73,5.6,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,603538,美诺华,买入,09:24:30-09:25:00,39.18,36.44,43.1,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2263,大东南,买入,09:24:30-09:25:00,4.07,3.79,4.48,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2192,融捷股份,买入,09:24:30-09:25:00,78.0,72.54,85.8,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,603026,石大胜华,买入,09:24:30-09:25:00,93.85,87.28,103.23,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,600310,广西能源,买入,09:24:30-09:25:00,6.6,6.14,7.26,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,600844,金煤科技,买入,09:24:30-09:25:00,4.99,4.64,5.49,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2361,神剑股份,买入,09:24:30-09:25:00,13.64,12.69,15.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2082,万邦德,买入,09:24:30-09:25:00,26.04,24.22,28.64,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
分歧转一致,600310,广西能源,买入,09:24:30-09:25:00,6.6,6.14,7.26,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,720,新能泰山,买入,09:24:30-09:25:00,5.51,5.12,6.06,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,767,晋控电力,买入,09:24:30-09:25:00,5.09,4.73,5.6,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,600844,金煤科技,买入,09:24:30-09:25:00,4.99,4.64,5.49,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,603538,美诺华,买入,09:24:30-09:25:00,39.18,36.44,43.1,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,2082,万邦德,买入,09:24:30-09:25:00,26.04,24.22,28.64,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,2361,神剑股份,买入,09:24:30-09:25:00,13.64,12.69,15.0,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,2263,大东南,买入,09:24:30-09:25:00,4.07,3.79,4.48,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,2192,融捷股份,买入,09:24:30-09:25:00,78.0,72.54,85.8,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
分歧转一致,603026,石大胜华,买入,09:24:30-09:25:00,93.85,87.28,103.23,medium,次日高开2%-5%; 竞价量>前日8%; 不跌破5日线,低开; 开盘后快速跌破昨日最低价; 15分钟未上板,0.75,分歧转一致信号,True
炸板回封（次日）,767,晋控电力,观察,09:24:30-09:25:00,0.0,4.73,5.6,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603585,苏利股份,观察,09:24:30-09:25:00,0.0,19.29,22.81,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,822,山东海化,观察,09:24:30-09:25:00,0.0,6.0,7.1,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,695,滨海能源,观察,09:24:30-09:25:00,0.0,13.29,15.72,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600727,鲁北化工,观察,09:24:30-09:25:00,0.0,7.25,8.58,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600227,赤天化,观察,09:24:30-09:25:00,0.0,3.97,4.7,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603538,美诺华,观察,09:24:30-09:25:00,0.0,36.44,43.1,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600513,联环药业,观察,09:24:30-09:25:00,0.0,23.82,28.17,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600268,国电南自,观察,09:24:30-09:25:00,0.0,13.94,16.49,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600666,奥瑞德,观察,09:24:30-09:25:00,0.0,5.65,6.69,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2042,华孚时尚,观察,09:24:30-09:25:00,0.0,4.11,4.86,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600539,狮头股份,观察,09:24:30-09:25:00,0.0,13.22,15.63,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2445,中南文化,观察,09:24:30-09:25:00,0.0,4.13,4.88,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603387,基蛋生物,观察,09:24:30-09:25:00,0.0,9.21,10.89,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2038,双鹭药业,观察,09:24:30-09:25:00,0.0,6.15,7.27,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2361,神剑股份,观察,09:24:30-09:25:00,0.0,12.69,15.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,300461,田中精机,观察,09:24:30-09:25:00,0.0,51.74,61.19,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603399,永杉锂业,观察,09:24:30-09:25:00,0.0,10.9,12.89,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2756,永兴材料,观察,09:24:30-09:25:00,0.0,75.53,89.33,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2526,山东矿机,观察,09:24:30-09:25:00,0.0,3.4,4.03,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,603115,海星股份,观察,09:24:30-09:25:00,0.0,40.39,47.77,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2386,天原股份,观察,09:24:30-09:25:00,0.0,5.87,6.94,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,301292,海科新源,观察,09:24:30-09:25:00,0.0,89.55,105.92,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2460,赣锋锂业,观察,09:24:30-09:25:00,0.0,74.09,87.64,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,600338,西藏珠峰,观察,09:24:30-09:25:00,0.0,16.26,19.23,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2432,九安医疗,观察,09:24:30-09:25:00,0.0,63.84,75.5,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,2068,黑猫股份,观察,09:24:30-09:25:00,0.0,8.56,10.12,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
炸板回封（次日）,1896,豫能控股,观察,09:24:30-09:25:00,0.0,15.38,18.19,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.75,前日炸板回封，次日观察弱转强: 炸板回封信号,True
首板突破,3042,中农联合,买入,09:31-10:00,17.97,16.71,19.77,light,9:40前涨停; 封单持续增加; 板块效应明显,涨停时间>10:00; 反复炸板; 板块跟风不足,0.83,首板突破+农化制品热点+5日涨幅8.8%+量比2.5+封单强度4.3%+突破均线,True
